,AGN,BA,BABA,BAC,BMY,BP,BUD,C,CHL,CVS,CVX,DIS,GE,HD,HSBC,IBM,JNJ,JPM,KO,LFC,LLY,MA,MCD,MDT,MO,MRK,NTT,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RAI,SLB,SNY,T,TM,TOT,TSM,UL,UN,UNH,V,VZ,WFC,WMT,XOM
2014-03-29,0,2,0,4,0,1,0,-2,0,0,2,0,-1,-1,0,1,1,-1,2,0,0,3,4,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,6,1,0,-1,1
2014-03-30,1,-3,0,-2,0,1,0,-1,1,0,-1,0,1,1,0,0,2,1,0,0,1,-2,1,3,1,-1,0,-1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2014-03-31,0,2,0,12,0,1,-1,0,0,0,2,1,0,0,0,-4,0,2,7,0,1,0,0,5,0,2,0,0,-2,8,5,1,2,-1,0,0,3,0,3,-1,0,0,0,0,0,0,1,1,3,0
2014-04-01,0,4,0,2,0,2,0,-2,2,0,-4,0,0,0,0,11,1,5,2,0,6,2,4,-4,0,2,0,0,-2,5,2,1,2,2,0,3,0,0,14,0,0,0,0,0,-2,3,11,-1,1,3
2014-04-02,0,-1,0,1,-1,-1,-2,-3,0,1,0,5,1,0,0,2,0,1,3,0,3,2,-1,0,1,2,0,0,1,7,6,-4,2,1,0,0,-1,1,1,-2,-2,1,0,0,0,1,0,-1,4,2
2014-04-03,0,1,0,9,0,1,0,-1,0,1,0,3,2,0,0,-2,2,-3,6,0,9,-2,0,-2,0,3,0,0,0,4,7,2,2,-1,0,0,3,0,5,0,3,1,0,0,0,5,4,-5,4,-2
2014-04-04,0,4,0,4,0,-1,0,-3,-1,-1,2,1,1,-1,0,0,3,7,-2,0,1,-4,3,0,5,2,0,0,0,1,5,1,1,3,-1,0,1,2,1,0,0,1,0,0,2,-11,4,3,-1,-2
2014-04-05,0,-1,0,-6,0,-1,0,1,0,0,1,-3,-2,0,0,-2,1,4,-2,0,0,-2,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2
2014-04-06,1,0,0,0,0,-1,0,-1,0,1,1,3,0,-1,0,-2,2,0,2,0,3,1,0,1,0,2,0,0,-1,5,5,-1,0,0,0,0,-1,0,2,2,0,0,1,0,0,0,0,1,2,3
2014-04-07,0,4,0,16,1,0,1,18,0,0,2,1,6,1,0,6,7,9,9,0,1,2,5,0,-1,2,0,0,1,1,10,6,-6,0,0,0,0,-1,10,1,0,0,-1,0,3,6,1,6,1,4
2014-04-08,0,0,0,11,-1,-1,-1,-5,0,1,-1,2,1,1,0,-2,1,0,5,0,1,1,-1,1,1,1,0,0,1,2,5,-3,0,3,-1,2,2,0,4,1,-1,0,2,0,3,-5,3,3,1,-3
2014-04-09,0,0,0,18,0,1,0,-2,0,2,2,2,0,0,0,13,3,2,-3,0,5,2,-2,0,6,-1,0,0,0,-1,7,-1,8,1,0,3,2,0,6,-2,0,0,1,1,0,10,0,-1,0,3
2014-04-10,0,5,0,2,0,0,0,13,2,2,-1,1,0,1,0,17,3,10,3,-1,2,-2,1,0,3,0,0,0,1,-1,6,3,1,0,0,4,2,1,3,-1,-1,0,-2,0,0,2,1,10,2,0
2014-04-11,3,2,0,13,1,0,0,1,1,0,1,2,3,1,0,3,0,-10,5,0,0,-1,-2,1,3,2,0,0,0,0,6,2,-1,1,0,0,0,0,6,2,0,0,0,0,0,-8,1,10,-1,4
2014-04-12,0,0,0,-1,0,0,0,-4,0,0,0,5,0,0,0,1,1,-3,-1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,2,4,0,0,-4,1
2014-04-13,0,1,0,4,0,0,0,-5,0,0,-1,2,-1,1,0,-5,0,0,1,0,2,-1,0,0,1,2,0,0,0,4,4,1,1,0,0,1,0,0,-1,0,0,0,1,0,2,0,0,4,0,-3
2014-04-14,0,0,0,19,1,1,-1,17,0,0,5,2,3,8,0,2,-5,-8,6,0,16,14,5,4,0,7,0,0,0,3,6,3,4,1,0,0,1,0,-1,2,-1,2,2,1,1,17,2,-5,5,5
2014-04-15,1,-3,0,10,1,0,1,8,0,-1,-1,3,-1,3,0,3,24,5,24,0,8,4,5,1,0,6,0,0,1,0,5,3,3,0,0,2,3,1,1,4,0,2,0,0,1,8,2,4,3,6
2014-04-16,5,2,0,-13,0,0,0,-6,0,0,2,2,7,1,0,-29,11,-7,20,0,-1,7,2,0,0,3,0,0,0,0,31,2,5,3,0,-1,5,1,3,-1,-1,-1,0,2,-1,2,0,-3,2,-1
2014-04-17,3,-1,0,18,2,3,0,2,-1,0,2,-1,15,3,0,-5,7,4,8,0,2,15,1,0,1,1,0,0,-1,0,67,-2,3,3,0,2,6,0,1,-1,2,7,0,0,3,5,0,2,3,2
2014-04-18,0,1,0,5,1,2,0,2,0,0,0,0,0,0,0,-3,0,1,2,0,4,0,0,1,-1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,0,0
